N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,2005,Anguilla,,,,,,,,,,,,600.0,,,,418.0,,259.0,,754.0,,,,,,380.0,,,,,,,,,,,,,,,,,356.0,,,,,,,108.0,,,466.0
183,2005,Antigua and Barbuda,35.0,,5.0,2.0,266.0,10.0,86.0,,18.0,17.0,4180.0,1572.0,170.0,67.0,29.0,3515.0,5.0,1003.0,47.0,420.0,596.0,809.0,21.0,634.0,6.0,627.0,12.0,,,,7.0,5.0,,,,,,,,,,5.0,5702.0,,,40.0,,35.0,12.0,382.0,,,2313.0
184,2005,Aruba,,,,,,249.0,,,,2063.0,115.0,3903.0,263.0,,1288.0,719.0,,,,,,120.0,589.0,,,,,,,,,,90.0,,,,,,8243.0,,,,289.0,,1019.0,1285.0,,3074.0,,,,,638.0
185,2005,Bahamas,,11.0,,,164.0,,8.0,15.0,240.0,,58.0,177.0,28.0,,23047.0,5349.0,,,,22.0,65.0,30.0,,341.0,957.0,,27.0,58.0,36.0,21.0,27.0,103.0,8.0,31.0,56.0,,80.0,20.0,106.0,28.0,,,957.0,,165.0,,9.0,26.0,25.0,1399.0,,,6587.0
186,2005,Barbados,,225.0,,55.0,,,,,42.0,,426.0,,518.0,,24.0,839.0,,,,78.0,2991.0,3648.0,,1740.0,,,15.0,,,,,,,,,,,,,,,,4640.0,,,33.0,,,20.0,721.0,,,1147.0
187,2005,"Bonaire, Sint Eustatius and Saba",569.0,1084.0,3306.0,148.0,480.0,,1862.0,,2099.0,2400.0,107.0,8887.0,15.0,205.0,3288.0,1519.0,205.0,,77.0,576.0,2.0,130.0,300.0,78.0,,174.0,,,,,,34.0,,,45.0,,,,2658.0,,,6.0,1316.0,,,2456.0,,1535.0,,174.0,,,1170.0
188,2005,British Virgin Islands,,600.0,,21.0,146.0,,,,,,958.0,1157.0,,,,422.0,,167.0,51.0,2405.0,425.0,1619.0,,320.0,,,,,,,,,,,,,,,,,,,1301.0,,,,,,,187.0,,,1042.0
189,2005,Cayman Islands,,,,181.0,189.0,,,,726.0,13.0,,65.0,17.0,,19.0,8468.0,,,47.0,,11.0,31.0,,327.0,,,342.0,203.0,,,1232.0,40.0,569.0,133.0,13.0,,70.0,,310.0,,,,253.0,,15.0,,,36.0,33.0,1366.0,,,2234.0
190,2005,Cuba,,,,,,,,,,,,137.0,92.0,,1061.0,336.0,,,140.0,,,,,,,,,,,78.0,,457.0,306.0,94.0,191.0,66.0,,202.0,181.0,69.0,,,,,98.0,,,221.0,,69.0,100.0,,609.0
191,2005,Curaçao,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
