N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,1995,Anguilla,,,,,,,,,,,,415.0,,,,292.0,,180.0,,540.0,,,,,,261.0,,,,,,,,,,,,,,,,,245.0,,,,,,,61.0,,,310.0
183,1995,Antigua and Barbuda,25.0,,6.0,4.0,226.0,7.0,73.0,,15.0,13.0,3170.0,1044.0,137.0,54.0,19.0,1832.0,5.0,890.0,37.0,430.0,474.0,616.0,14.0,474.0,5.0,440.0,10.0,,,,5.0,4.0,,,,,,,,,,4.0,3489.0,,,23.0,,22.0,10.0,287.0,,,1733.0
184,1995,Aruba,,,,,,133.0,,,,1095.0,134.0,2829.0,285.0,,660.0,439.0,,,,,,178.0,313.0,,,,,,,,,,48.0,,,,,,4446.0,,,,202.0,,540.0,997.0,,2000.0,,,,,553.0
185,1995,Bahamas,,10.0,,,171.0,,8.0,9.0,79.0,,41.0,64.0,27.0,,15759.0,3282.0,,,,12.0,41.0,21.0,,299.0,1284.0,,22.0,38.0,4.0,8.0,10.0,51.0,8.0,15.0,8.0,,41.0,8.0,30.0,12.0,,,550.0,,41.0,,2.0,20.0,23.0,1040.0,,,4294.0
186,1995,Barbados,,246.0,,59.0,,,,,0.0,,492.0,,616.0,,0.0,679.0,,,,0.0,3621.0,4014.0,,1910.0,,,0.0,,,,,,,,,,,,,,,,2792.0,,,0.0,,,0.0,729.0,,,1213.0
187,1995,"Bonaire, Sint Eustatius and Saba",351.0,669.0,3739.0,91.0,296.0,,874.0,,1295.0,2310.0,960.0,8267.0,10.0,127.0,3574.0,938.0,96.0,,48.0,1312.0,1.0,80.0,289.0,48.0,,108.0,,,,,,21.0,,,28.0,,,,1641.0,,,4.0,812.0,,,2167.0,,947.0,,108.0,,,722.0
188,1995,British Virgin Islands,,456.0,,16.0,111.0,,,,,,728.0,879.0,,,,320.0,,127.0,38.0,1828.0,323.0,1230.0,,243.0,,,,,,,,,,,,,,,,,,,989.0,,,,,,,142.0,,,792.0
189,1995,Cayman Islands,,,,125.0,137.0,,,,495.0,9.0,,45.0,11.0,,13.0,5602.0,,,32.0,,7.0,21.0,,239.0,,,236.0,187.0,,,767.0,28.0,507.0,92.0,9.0,,48.0,,154.0,,,,130.0,,10.0,,,24.0,23.0,912.0,,,1743.0
190,1995,Cuba,,,,,,,,,,,,203.0,137.0,,1564.0,497.0,,,206.0,,,,,,,,,,,116.0,,674.0,451.0,140.0,283.0,97.0,,298.0,268.0,102.0,,,,,145.0,,,327.0,,102.0,148.0,,899.0
191,1995,Curaçao,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
