N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
220,2015,Brazil,,,,18.0,33.0,,,,2479.0,,25.0,372.0,31.0,,65.0,165.0,,,,36.0,173.0,35.0,,224.0,,,6.0,461.0,272.0,348.0,151.0,3198.0,438.0,621.0,34699.0,46336.0,,18422.0,8179.0,2065.0,,844.0,2264.0,46857.0,17931.0,325.0,28708.0,3425.0,,1894.0,,,28068.0
221,2015,Chile,15.0,13.0,5.0,2.0,5.0,,0.0,2.0,3049.0,,30.0,278.0,5.0,7.0,44.0,23.0,5.0,2.0,184.0,13.0,62.0,5.0,,12.0,5.0,2.0,2.0,467.0,233.0,227.0,240.0,1739.0,240.0,516.0,70415.0,37554.0,18243.0,,23471.0,23471.0,5.0,2.0,15.0,1226.0,178385.0,5.0,2288.0,4134.0,5.0,1847.0,5.0,2.0,8058.0
222,2015,Colombia,42.0,40.0,307.0,,,,,,1820.0,91.0,49.0,385.0,,,116.0,60.0,,,553.0,,,,22.0,37.0,,,,1056.0,384.0,460.0,352.0,2854.0,573.0,2067.0,3199.0,818.0,2337.0,2024.0,,14232.0,,,19.0,216.0,5044.0,,435.0,46614.0,,985.0,,,18841.0
223,2015,Ecuador,,,,48.0,,,,,2994.0,,,353.0,,,96.0,37.0,,,500.0,,,,,45.0,,,,938.0,522.0,430.0,469.0,2258.0,392.0,964.0,5399.0,1528.0,2654.0,11341.0,194733.0,,52.0,,,242.0,13705.0,,958.0,8901.0,,2341.0,,,26802.0
224,2015,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,198.0,,,,,,,,,,,,,,,19.0
225,2015,French Guiana,,,,,,,,,,,723.0,,,2021.0,19005.0,,2654.0,,,,1253.0,,,,,,,,,,,,,,,,19481.0,,,,,,3675.0,,506.0,30785.0,,,,,,,
226,2015,Guyana,,19.0,,15.0,268.0,,,,,,43.0,,193.0,,,295.0,,,,,219.0,368.0,,880.0,,,,,,,,,,,,,2135.0,,,,,,,,,4595.0,,2099.0,,400.0,,,1255.0
227,2015,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.0,,,57056.0,1009.0,73715.0,2109.0,,,,,,,,,2925.0,,,2281.0,,,1576.0
228,2015,Peru,,,,,,,,,905.0,,,181.0,,,49.0,,,,137.0,,,22.0,,,,,,337.0,108.0,163.0,165.0,1491.0,161.0,344.0,11354.0,5722.0,4859.0,7182.0,5937.0,3990.0,,34.0,,545.0,,,612.0,3237.0,,1223.0,,,9853.0
229,2015,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5456.0,,,,,,13284.0,,,,,,,,,,
230,2015,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.0,,,22521.0,,10496.0,1384.0,,,,,,1583.0,1533.0,,,463.0,,284.0,,,2853.0
231,2015,Venezuela (Bolivarian Republic of),,,486.0,,7.0,1025.0,,,11423.0,,0.0,14743.0,163.0,,1900.0,95.0,43.0,,419.0,,6.0,121.0,,2808.0,,,20.0,1127.0,1015.0,428.0,294.0,3831.0,2045.0,880.0,9944.0,1967.0,6026.0,15263.0,973315.0,36973.0,,30.0,9149.0,214.0,47007.0,46.0,4795.0,,,1136.0,,,11242.0
233,2015,Bermuda,,,,,,,,,30.0,,,21.0,,,1680.0,609.0,,,,,,,,68.0,83.0,,,,,,,,,,,,,,,,,,102.0,,,,,,,2302.0,,,3527.0
234,2015,Canada,82.0,2677.0,657.0,2160.0,17207.0,,108.0,429.0,15128.0,,3361.0,9803.0,11524.0,657.0,93443.0,140185.0,635.0,678.0,467.0,2285.0,5928.0,13973.0,,74682.0,82.0,65.0,2149.0,5039.0,48632.0,17555.0,7084.0,93557.0,9923.0,2871.0,21350.0,5667.0,29345.0,29090.0,70497.0,15590.0,0.0,87.0,96531.0,8348.0,30099.0,994.0,7485.0,19732.0,3186.0,,0.0,321.0,343252.0
235,2015,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,39.0
236,2015,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,63.0
237,2015,United States of America,,28558.0,5943.0,33617.0,54780.0,,,,1131284.0,,29579.0,940874.0,32460.0,,604004.0,712830.0,,6085.0,1744402.0,17226.0,21076.0,22808.0,,240948.0,,,49765.0,85924.0,1276489.0,881191.0,530645.0,12050031.0,257427.0,107852.0,179639.0,80073.0,347968.0,97901.0,687696.0,442693.0,,,269778.0,28642.0,442615.0,13338.0,47664.0,197171.0,8176.0,842175.0,,,
