N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,2015,Anguilla,,,,,,,,,,,,700.0,,,,488.0,,302.0,,881.0,,,,,,443.0,,,,,,,,,,,,,,,,,416.0,,,,,,,126.0,,,545.0
183,2015,Antigua and Barbuda,39.0,,5.0,2.0,302.0,11.0,98.0,,20.0,19.0,4745.0,1784.0,192.0,76.0,33.0,3990.0,5.0,1138.0,53.0,476.0,676.0,918.0,23.0,720.0,6.0,711.0,14.0,,,,7.0,5.0,,,,,,,,,,5.0,6472.0,,,45.0,,39.0,14.0,434.0,,,2626.0
184,2015,Aruba,,,,,,297.0,,,,2455.0,107.0,4327.0,258.0,,1632.0,746.0,,,,,,113.0,701.0,,,,,,,,,,107.0,,,,,,9762.0,,,,289.0,,1134.0,1337.0,,3399.0,,,,,612.0
185,2015,Bahamas,,14.0,,,238.0,,3.0,23.0,401.0,,75.0,291.0,33.0,,27591.0,7503.0,,,,34.0,78.0,40.0,,390.0,1545.0,,44.0,54.0,73.0,35.0,43.0,134.0,10.0,52.0,111.0,,121.0,35.0,193.0,43.0,,,1335.0,,314.0,,17.0,30.0,39.0,1567.0,,,9664.0
186,2015,Barbados,,194.0,,49.0,,,,,58.0,,337.0,,389.0,,33.0,994.0,,,,109.0,2177.0,3114.0,,1490.0,,,22.0,,,,,,,,,,,,,,,,6594.0,,,47.0,,,28.0,689.0,,,1034.0
187,2015,"Bonaire, Sint Eustatius and Saba",28.0,25.0,755.0,21.0,64.0,,63.0,,45.0,4115.0,22.0,1362.0,0.0,27.0,100.0,394.0,27.0,,10.0,26.0,0.0,13.0,514.0,6.0,,0.0,,,,,,0.0,,,3.0,,,,588.0,,,0.0,164.0,,,416.0,,480.0,,87.0,,,588.0
188,2015,British Virgin Islands,,752.0,,26.0,182.0,,,,,,1200.0,1450.0,,,,528.0,,209.0,63.0,3014.0,533.0,2029.0,,401.0,,,,,,,,,,,,,,,,,,,1631.0,,,,,,,234.0,,,1306.0
189,2015,Cayman Islands,,,,168.0,166.0,,,,686.0,11.0,,60.0,15.0,,17.0,9351.0,,,44.0,,9.0,29.0,,285.0,,,319.0,118.0,,,1661.0,37.0,359.0,124.0,11.0,,65.0,,380.0,,,,304.0,,14.0,,,33.0,31.0,1315.0,,,2607.0
190,2015,Cuba,,,,,,,,,,,,113.0,76.0,,872.0,276.0,,,115.0,,,,,,,,,,,64.0,,375.0,252.0,77.0,157.0,54.0,,166.0,149.0,57.0,,,,,80.0,,,182.0,,57.0,82.0,,500.0
191,2015,Curaçao,42.0,54.0,1708.0,81.0,191.0,2334.0,99.0,,233.0,,107.0,5715.0,2.0,94.0,1968.0,1300.0,31.0,,15.0,181.0,,291.0,499.0,96.0,,28.0,,,,,,13.0,,,21.0,,,,4797.0,,,,458.0,,105.0,1871.0,,1787.0,,90.0,,,330.0
192,2015,Dominica,19.0,442.0,47.0,12.0,167.0,,85.0,,12.0,,,,,38.0,1395.0,129.0,143.0,162.0,16.0,63.0,281.0,125.0,,306.0,,,,,,,,,,,,,,,,,,23.0,190.0,,,19.0,,30.0,,184.0,,,623.0
193,2015,Dominican Republic,34.0,179.0,160.0,39.0,,,75.0,,3841.0,,15.0,,,56.0,329281.0,133.0,33.0,,6083.0,137.0,,,,23.0,35.0,82.0,,307.0,267.0,429.0,424.0,1498.0,292.0,757.0,1071.0,171.0,645.0,633.0,3606.0,582.0,,,23.0,25.0,1428.0,27.0,183.0,5417.0,16.0,1216.0,,64.0,25814.0
194,2015,Grenada,,38.0,,30.0,178.0,,14.0,,,,74.0,,,,,115.0,,10.0,,15.0,163.0,377.0,,2196.0,,704.0,,,,,,,,,,,,,,,,,341.0,,,,,341.0,,227.0,,,
195,2015,Guadeloupe,,,,,,,,,,,4373.0,947.0,,,15284.0,,9446.0,,,,413.0,,,,,,,,,,,,,,,,63.0,,,,,1191.0,188.0,,,37.0,,,,496.0,,,496.0
196,2015,Haiti,,,,,,,,,2492.0,,,4984.0,,,,,,,3201.0,,,,,,,,,568.0,,,,634.0,,,964.0,,,690.0,1715.0,,,,,,727.0,,593.0,5198.0,,1302.0,,,3328.0
197,2015,Jamaica,,153.0,,662.0,533.0,,,,1791.0,,137.0,,205.0,,,,,,,96.0,328.0,224.0,,2299.0,,,7.0,99.0,132.0,302.0,160.0,,123.0,74.0,,,,,,,,,,,,,,,,1313.0,,,6193.0
198,2015,Martinique,,,,,,,,,,,422.0,139.0,,5461.0,1769.0,,,,,,2032.0,,,,,,,,,,,,,,,,76.0,,,,,1808.0,,,,,,,,,,,
199,2015,Montserrat,,116.0,,,,,,,,,280.0,24.0,,,,,,,,119.0,,29.0,,44.0,,,,,,,,,,,,,,,,,,,243.0,,,,,,,37.0,,,121.0
200,2015,Puerto Rico,,,,,,,,,13321.0,,1190.0,57891.0,,,160.0,43.0,,,,,,,,174.0,,433.0,,685.0,846.0,381.0,408.0,2647.0,234.0,921.0,1180.0,56.0,95.0,789.0,3788.0,851.0,,,50.0,,686.0,,,2302.0,,119.0,,,165147.0
201,2015,Saint Kitts and Nevis,,404.0,,24.0,96.0,,243.0,,,,200.0,,57.0,,,141.0,,430.0,,,102.0,168.0,,266.0,,613.0,,,,,,,,,,,,,,,,,777.0,,,,,,,,,,
202,2015,Saint Lucia,37.0,118.0,17.0,13.0,778.0,,4.0,4.0,24.0,,229.0,48.0,159.0,44.0,,187.0,475.0,31.0,16.0,44.0,,435.0,,780.0,,20.0,1.0,,,4.0,,9.0,,28.0,,,12.0,,,,,304.0,1974.0,,,42.0,,63.0,6.0,256.0,,,663.0
203,2015,Saint Vincent and the Grenadines,,58.0,,,347.0,199.0,,,,151.0,86.0,,433.0,,,125.0,,,,39.0,237.0,,111.0,964.0,,,,,,,,,,,,,,,,,,,243.0,,,,,,,163.0,,,338.0
204,2015,Sint Maarten (Dutch part),383.0,534.0,1286.0,,73.0,165.0,904.0,,828.0,1425.0,1495.0,3546.0,,2051.0,2746.0,2364.0,75.0,,26.0,1042.0,487.0,70.0,,208.0,,70.0,,,,,,,,,,,,,208.0,,,,1807.0,,,521.0,,41.0,,38.0,,,312.0
205,2015,Trinidad and Tobago,,,,,1066.0,,,,76.0,,,,8026.0,,,1497.0,,,,,880.0,6430.0,,,,,,,,,,,,,,,,,,,,,9830.0,,,,,1732.0,,1777.0,,,5798.0
206,2015,Turks and Caicos Islands,,,,12.0,,,,,,,,774.0,,,7347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0,,,727.0
207,2015,United States Virgin Islands,972.0,4587.0,501.0,,368.0,396.0,2464.0,,,,5508.0,4641.0,590.0,,644.0,373.0,,780.0,4067.0,7100.0,3425.0,518.0,,1759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16861.0
209,2015,Belize,,,,,,,,,,,,,,,53.0,489.0,,,,,,,,,,,,,8697.0,23231.0,8496.0,3472.0,,,,,,,,,,,,,,,,,,818.0,,,4036.0
210,2015,Costa Rica,,,33.0,12.0,11.0,,,8.0,5897.0,,5.0,1126.0,8.0,,73.0,223.0,4.0,4.0,365.0,1.0,1.0,1.0,,35.0,,7.0,143.0,,14239.0,2725.0,4020.0,3176.0,299340.0,11702.0,1504.0,379.0,558.0,1782.0,21787.0,1303.0,,12.0,29.0,85.0,3876.0,21.0,321.0,1415.0,11.0,1443.0,8.0,1.0,12982.0
211,2015,El Salvador,,,,,40.0,,,,128.0,,,72.0,,,,10.0,,,62.0,,,,,,,,339.0,876.0,,8885.0,11676.0,1714.0,7823.0,451.0,216.0,53.0,242.0,229.0,577.0,123.0,,,,11.0,234.0,,75.0,242.0,,245.0,,,5397.0
212,2015,Guatemala,,,,,,,,,660.0,,,109.0,,,14.0,,,,101.0,,,,,,,,916.0,1162.0,19198.0,,8387.0,17540.0,8561.0,300.0,554.0,136.0,240.0,301.0,1156.0,167.0,,20.0,,59.0,457.0,,140.0,283.0,,397.0,398.0,,8643.0
213,2015,Honduras,,,,,,,,66.0,449.0,,,99.0,,,32.0,20.0,,,95.0,,,,,,,,268.0,631.0,6486.0,3375.0,,1148.0,5690.0,292.0,140.0,108.0,174.0,227.0,636.0,338.0,,,,26.0,282.0,,49.0,75.0,,256.0,,,4981.0
214,2015,Mexico,,,,,,,,,17653.0,,,1992.0,,,1296.0,174.0,,,1325.0,,,,,26.0,,,3160.0,2468.0,10054.0,53128.0,15027.0,,5369.0,1756.0,18728.0,2715.0,6198.0,7202.0,20135.0,2736.0,,,,767.0,8853.0,,2947.0,15959.0,,14121.0,,,876528.0
215,2015,Nicaragua,,119.0,,84.0,,,,,941.0,,,69.0,,,23.0,20.0,,,58.0,,,,,,,,24.0,10772.0,2444.0,1762.0,12439.0,846.0,,405.0,270.0,64.0,122.0,126.0,447.0,111.0,,,,,228.0,,38.0,159.0,,252.0,,,3606.0
216,2015,Panama,,,,,32.0,,,,2825.0,31.0,58.0,8095.0,27.0,,542.0,697.0,,,721.0,,,,,119.0,,,86.0,7760.0,3225.0,1606.0,1504.0,4832.0,12915.0,,2550.0,454.0,2002.0,1813.0,55251.0,2672.0,,,48.0,122.0,4290.0,,762.0,9883.0,,1808.0,,46.0,14040.0
218,2015,Argentina,,,1.0,,7.0,,,,1106.0,,4.0,684.0,11.0,,41.0,11.0,,,75.0,,,,,34.0,,,6.0,123.0,73.0,96.0,66.0,1450.0,91.0,161.0,,419048.0,48792.0,213119.0,8640.0,955.0,,,,679044.0,195320.0,5.0,132749.0,1240.0,,530.0,15.0,,5135.0
219,2015,Bolivia (Plurinational State of),,0.0,2.0,0.0,0.0,20.0,,,1770.0,167.0,3.0,116.0,0.0,,15.0,7.0,,,38.0,0.0,,,48.0,5.0,,,905.0,146.0,127.0,142.0,231.0,9522.0,111.0,109.0,42691.0,,25688.0,4730.0,2964.0,1002.0,,1.0,5.0,4285.0,11282.0,0.0,509.0,773.0,0.0,1380.0,,0.0,4896.0
