N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
182,2010,Anguilla,,,,,,,,,,,,653.0,,,,455.0,,282.0,,822.0,,,,,,413.0,,,,,,,,,,,,,,,,,388.0,,,,,,,118.0,,,508.0
183,2010,Antigua and Barbuda,37.0,,5.0,2.0,284.0,10.0,92.0,,19.0,18.0,4462.0,1678.0,181.0,71.0,31.0,3752.0,5.0,1070.0,50.0,448.0,636.0,863.0,22.0,677.0,6.0,669.0,13.0,,,,7.0,5.0,,,,,,,,,,5.0,6086.0,,,42.0,,37.0,13.0,408.0,,,2469.0
184,2010,Aruba,,,,,,282.0,,,,2334.0,102.0,4113.0,245.0,,1551.0,709.0,,,,,,107.0,666.0,,,,,,,,,,102.0,,,,,,9279.0,,,,275.0,,1078.0,1271.0,,3231.0,,,,,582.0
185,2010,Bahamas,,13.0,,,220.0,,3.0,21.0,370.0,,69.0,269.0,30.0,,25465.0,6925.0,,,,31.0,72.0,37.0,,360.0,1426.0,,41.0,50.0,67.0,32.0,40.0,124.0,9.0,48.0,102.0,,112.0,32.0,178.0,40.0,,,1232.0,,290.0,,16.0,28.0,36.0,1446.0,,,8919.0
186,2010,Barbados,,185.0,,47.0,,,,,56.0,,321.0,,371.0,,32.0,947.0,,,,104.0,2073.0,2964.0,,1419.0,,,21.0,,,,,,,,,,,,,,,,6277.0,,,45.0,,,27.0,656.0,,,985.0
187,2010,"Bonaire, Sint Eustatius and Saba",25.0,22.0,664.0,19.0,57.0,,56.0,,40.0,3617.0,20.0,1198.0,0.0,24.0,88.0,347.0,24.0,,9.0,23.0,0.0,12.0,452.0,6.0,,0.0,,,,,,0.0,,,3.0,,,,517.0,,,0.0,145.0,,,366.0,,422.0,,77.0,,,517.0
188,2010,British Virgin Islands,,676.0,,23.0,164.0,,,,,,1079.0,1303.0,,,,475.0,,188.0,57.0,2709.0,479.0,1824.0,,360.0,,,,,,,,,,,,,,,,,,,1466.0,,,,,,,210.0,,,1174.0
189,2010,Cayman Islands,,,,171.0,169.0,,,,695.0,12.0,,61.0,16.0,,18.0,9467.0,,,45.0,,10.0,30.0,,289.0,,,323.0,120.0,,,1682.0,38.0,364.0,126.0,12.0,,66.0,,385.0,,,,308.0,,15.0,,,34.0,32.0,1332.0,,,2640.0
190,2010,Cuba,,,,,,,,,,,,125.0,84.0,,969.0,307.0,,,128.0,,,,,,,,,,,71.0,,417.0,280.0,86.0,174.0,60.0,,184.0,166.0,63.0,,,,,89.0,,,202.0,,63.0,91.0,,556.0
191,2010,Curaçao,39.0,50.0,1572.0,75.0,176.0,2148.0,92.0,,215.0,,99.0,5259.0,2.0,87.0,1811.0,1197.0,29.0,,14.0,167.0,,268.0,460.0,89.0,,26.0,,,,,,12.0,,,20.0,,,,4414.0,,,,422.0,,97.0,1722.0,,1645.0,,83.0,,,304.0
