Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Jamaica,1995,,,,,,101.0,1837.0,,,137.0,311.0,,165.0,,128.0,77.0,,,5615.0,,,497.0,2126.0,,192.0,,128.0,305.0,143.0,209.0,616.0,89.0,1277.0,7.0,
Grenada,1995,,,,,,,,,,,,,,,,,,,,,175.0,131.0,1813.0,85.0,,,54.0,119.0,28.0,333.0,22.0,11.0,145.0,,316.0
Suriname,1995,,,2594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6317.0
Dominica,1995,,,,,,,6.0,,,,,732.0,,,,,,,299.0,,14.0,80.0,147.0,62.0,,9.0,,135.0,243.0,60.0,6.0,30.0,88.0,,91.0
Saint Lucia,1995,,,6.0,,,,13.0,26.0,,,2.0,,,5.0,,16.0,,,372.0,,35.0,437.0,438.0,105.0,90.0,24.0,129.0,,65.0,245.0,7.0,25.0,143.0,0.0,1108.0
Antigua and Barbuda,1995,,,,,,,15.0,1044.0,,,,19.0,5.0,4.0,,,,,1733.0,,22.0,226.0,474.0,1832.0,137.0,23.0,3170.0,474.0,,616.0,4.0,430.0,287.0,10.0,3489.0
Saint Vincent and the Grenadines,1995,,,,,,,,,,,,,,,,,,,303.0,,,315.0,871.0,115.0,392.0,,78.0,216.0,53.0,,,36.0,148.0,,217.0
Bahamas,1995,8.0,,41.0,8.0,30.0,38.0,79.0,64.0,12.0,4.0,8.0,15759.0,10.0,51.0,8.0,15.0,,41.0,4294.0,2.0,20.0,171.0,299.0,3282.0,27.0,,41.0,41.0,10.0,21.0,,12.0,1040.0,22.0,550.0
Saint Kitts and Nevis,1995,,,,,,,,,,,,,,,,,,,,,,56.0,152.0,82.0,34.0,,115.0,60.0,231.0,97.0,8.0,,,,443.0
Canada,1995,12036.0,1948.0,10058.0,23182.0,12595.0,1894.0,3462.0,3841.0,9362.0,32598.0,11127.0,45292.0,3293.0,30113.0,7730.0,1785.0,4780.0,14301.0,244567.0,5570.0,5582.0,14373.0,55297.0,108174.0,6638.0,664.0,2099.0,2435.0,2082.0,6477.0,1153.0,1944.0,,1145.0,72507.0
Belize,1995,,,,,,,,,,6661.0,14350.0,37.0,4100.0,2782.0,,,,,1908.0,,,,,424.0,,,,,,,,,515.0,,
Guyana,1995,,,780.0,,,,,,,,,,,,,,,,459.0,,768.0,186.0,310.0,124.0,81.0,1681.0,19.0,275.0,8.0,154.0,6.0,,147.0,,
