Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Peru,1990,8122.0,4094.0,3476.0,5138.0,4247.0,240.0,646.0,128.0,2855.0,76.0,115.0,34.0,118.0,1067.0,114.0,246.0,389.0,,7050.0,437.0,2316.0,,,,,,,,,16.0,,,875.0,,
United States of America,1990,92563.0,31303.0,82489.0,55681.0,286124.0,43530.0,736971.0,347858.0,143314.0,465433.0,225739.0,225393.0,108923.0,4298014.0,168659.0,85737.0,6057.0,144199.0,,20766.0,42119.0,43015.0,115710.0,334140.0,17730.0,2860.0,19529.0,6959.0,12022.0,12824.0,21633.0,7447.0,744830.0,29957.0,120698.0
Uruguay,1990,14559.0,,10581.0,1161.0,,,,,,,,,,719.0,,,1241.0,555.0,1525.0,,773.0,,,,,,,,,,,,427.0,,
Venezuela (Bolivarian Republic of),1990,9483.0,2224.0,4323.0,22198.0,555578.0,1661.0,11559.0,18280.0,24600.0,1017.0,579.0,2013.0,437.0,2886.0,2526.0,1470.0,359.0,29635.0,11639.0,6076.0,,241.0,3611.0,220.0,436.0,106.0,200.0,65.0,,107.0,,,981.0,18.0,4601.0
Barbados,1990,,,,,,,0.0,,,,,0.0,,,,,,,1112.0,,,,1750.0,622.0,565.0,0.0,451.0,3317.0,226.0,3676.0,55.0,0.0,668.0,0.0,2557.0
Trinidad and Tobago,1990,,,,,,,40.0,,,,,,,,,,,,2430.0,,1337.0,2411.0,,811.0,16589.0,,,1306.0,,11629.0,,,963.0,,5140.0
Jamaica,1990,,,,,,96.0,1746.0,,,130.0,295.0,,157.0,,121.0,73.0,,,4575.0,,,418.0,1775.0,,161.0,,107.0,257.0,120.0,176.0,518.0,75.0,1140.0,6.0,
Grenada,1990,,,,,,,,,,,,,,,,,,,,,43.0,101.0,1647.0,65.0,,,42.0,92.0,22.0,325.0,17.0,9.0,85.0,,324.0
Suriname,1990,,,2100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5114.0
Dominica,1990,,,,,,,5.0,,,,,561.0,,,,,,,226.0,,11.0,61.0,111.0,47.0,,7.0,,102.0,184.0,45.0,5.0,23.0,67.0,,69.0
Saint Lucia,1990,,,5.0,,,,10.0,20.0,,,2.0,,,4.0,,12.0,,,276.0,,27.0,324.0,325.0,78.0,67.0,18.0,96.0,,49.0,182.0,6.0,19.0,107.0,1.0,821.0
Antigua and Barbuda,1990,,,,,,,12.0,621.0,,,,11.0,3.0,3.0,,,,,1308.0,,11.0,204.0,356.0,386.0,115.0,9.0,2442.0,392.0,,478.0,5.0,469.0,218.0,8.0,1660.0
Saint Vincent and the Grenadines,1990,,,,,,,,,,,,,,,,,,,291.0,,,303.0,837.0,111.0,377.0,,75.0,208.0,51.0,,,35.0,143.0,,209.0
Bahamas,1990,8.0,,36.0,9.0,28.0,10.0,48.0,44.0,10.0,5.0,7.0,10894.0,7.0,21.0,9.0,17.0,,43.0,4247.0,2.0,16.0,234.0,278.0,2792.0,28.0,,35.0,25.0,13.0,20.0,,13.0,730.0,31.0,419.0
Saint Kitts and Nevis,1990,,,,,,,,,,,,,,,,,,,,,,41.0,115.0,62.0,24.0,,87.0,46.0,175.0,74.0,5.0,,,,335.0
Canada,1990,10660.0,1545.0,7028.0,21945.0,7547.0,1304.0,1737.0,2668.0,7685.0,27145.0,8559.0,38271.0,2202.0,18610.0,6199.0,1118.0,4702.0,11010.0,238998.0,5033.0,3339.0,14225.0,47386.0,98288.0,4543.0,513.0,1449.0,1713.0,1900.0,4357.0,1061.0,1464.0,,935.0,63381.0
Belize,1990,,,,,,,,,,6691.0,12650.0,35.0,2764.0,3025.0,,,,,1901.0,,,,,445.0,,,,,,,,,542.0,,
Guyana,1990,,,485.0,,,,,,,,,,,,,,,,285.0,,478.0,156.0,189.0,83.0,54.0,1047.0,13.0,286.0,5.0,103.0,4.0,,92.0,,
