Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Argentina,2005,,294640.0,37604.0,195316.0,2672.0,190.0,1711.0,1058.0,1478.0,115.0,149.0,64.0,103.0,2243.0,141.0,249.0,451769.0,127337.0,6907.0,114433.0,1918.0,12.0,53.0,18.0,17.0,8.0,7.0,,,,,,819.0,9.0,
Bolivia (Plurinational State of),2005,32418.0,,18453.0,4230.0,1946.0,133.0,1018.0,50.0,800.0,108.0,132.0,10.0,198.0,8760.0,90.0,96.0,3462.0,9549.0,3935.0,445.0,604.0,0.0,9.0,4.0,1.0,1.0,2.0,,0.0,,0.0,0.0,1430.0,850.0,6.0
Brazil,2005,28410.0,29671.0,,16352.0,5520.0,313.0,1715.0,207.0,1463.0,356.0,225.0,35.0,131.0,1973.0,436.0,541.0,34146.0,12958.0,18779.0,24495.0,2524.0,13.0,,98.0,13.0,253.0,10.0,,,,7.0,,1425.0,2.0,1756.0
Chile,2005,57003.0,19148.0,8993.0,,9898.0,369.0,2420.0,220.0,15437.0,185.0,179.0,37.0,190.0,1379.0,190.0,409.0,972.0,94114.0,6373.0,1815.0,3279.0,3.0,9.0,17.0,4.0,2.0,23.0,49.0,10.0,4.0,1.0,10.0,1467.0,2.0,12.0
Colombia,2005,2562.0,660.0,1873.0,1679.0,,832.0,1451.0,321.0,11617.0,310.0,357.0,95.0,283.0,2255.0,467.0,1743.0,185.0,3909.0,15025.0,354.0,37137.0,,34.0,56.0,,,41.0,,33.0,,,,782.0,,16.0
Costa Rica,2005,734.0,185.0,272.0,869.0,7703.0,,2876.0,549.0,636.0,6446.0,1329.0,35.0,1961.0,1549.0,148064.0,6201.0,41.0,1891.0,6332.0,157.0,690.0,5.0,17.0,109.0,4.0,10.0,3.0,1.0,,1.0,6.0,1.0,704.0,69.0,14.0
Cuba,2005,191.0,66.0,,202.0,181.0,,,137.0,69.0,,78.0,1061.0,,457.0,306.0,94.0,,98.0,609.0,,221.0,,,336.0,92.0,,,,,,,,69.0,,
Dominican Republic,2005,2129.0,304.0,889.0,1460.0,4593.0,1097.0,6008.0,,859.0,351.0,495.0,271273.0,467.0,1777.0,393.0,788.0,50.0,1899.0,17858.0,1083.0,11299.0,,72.0,321.0,,76.0,22.0,,248.0,,74.0,112.0,2761.0,,39.0
Ecuador,2005,2643.0,748.0,1299.0,5551.0,93022.0,459.0,1466.0,173.0,,256.0,211.0,47.0,230.0,1106.0,192.0,472.0,119.0,6708.0,13118.0,469.0,4357.0,,22.0,19.0,,,,,,,24.0,,1146.0,,
El Salvador,2005,187.0,48.0,215.0,214.0,458.0,829.0,102.0,56.0,108.0,,7367.0,,10362.0,1541.0,6024.0,394.0,13.0,198.0,4871.0,70.0,206.0,37.0,,10.0,,,,,,,,,242.0,272.0,
