Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Guatemala,2005,416.0,102.0,180.0,227.0,868.0,872.0,496.0,82.0,125.0,14364.0,,11.0,6294.0,13160.0,6424.0,226.0,45.0,343.0,6473.0,106.0,211.0,,,,,,,,,,,,298.0,688.0,
Haiti,2005,743.0,,,532.0,1322.0,437.0,1921.0,3842.0,,,,,,489.0,,,,561.0,2566.0,458.0,4007.0,,,,,,,,,,,,1003.0,,
Honduras,2005,139.0,108.0,173.0,226.0,631.0,626.0,446.0,99.0,335.0,6439.0,3351.0,32.0,,1140.0,5649.0,290.0,26.0,280.0,4946.0,49.0,73.0,,,20.0,,,,,,,,,254.0,266.0,
Mexico,2005,9828.0,1888.0,3744.0,5175.0,9403.0,2669.0,9021.0,1324.0,1880.0,6923.0,29322.0,602.0,6702.0,,3434.0,1966.0,394.0,5371.0,520053.0,2049.0,6526.0,,32.0,116.0,,,,,,,,,8248.0,1847.0,
Nicaragua,2005,235.0,57.0,107.0,110.0,389.0,9343.0,817.0,60.0,97.0,2121.0,1529.0,21.0,10745.0,735.0,,352.0,,199.0,3085.0,34.0,139.0,,,18.0,,,,,104.0,,73.0,,219.0,22.0,
Panama,2005,1449.0,280.0,1223.0,1271.0,33463.0,5500.0,1993.0,6227.0,2037.0,2333.0,960.0,371.0,1034.0,3152.0,7775.0,,67.0,3101.0,8384.0,445.0,4592.0,36.0,71.0,559.0,11.0,,35.0,,,,,,966.0,77.0,36.0
Paraguay,2005,61353.0,1086.0,79266.0,2269.0,,,,,,,,,,1727.0,,,,,1696.0,3146.0,,,,,,,,,,,,,2453.0,,
Peru,2005,9688.0,4883.0,4147.0,6129.0,5066.0,288.0,773.0,155.0,3405.0,93.0,140.0,43.0,142.0,1273.0,138.0,295.0,466.0,,8408.0,523.0,2763.0,,,,,,,,,20.0,,,1045.0,,
United States of America,2005,148392.0,64764.0,272297.0,85360.0,564430.0,78555.0,932172.0,740302.0,353988.0,969458.0,625039.0,477776.0,372898.0,10309054.0,229520.0,103068.0,20737.0,340722.0,,36900.0,138645.0,52145.0,211656.0,594197.0,30022.0,9656.0,24557.0,16098.0,21812.0,20326.0,28259.0,13158.0,818370.0,43087.0,230099.0
Uruguay,2005,22181.0,,11246.0,1430.0,,,,,,,,,,553.0,,,1300.0,339.0,1250.0,,587.0,,,,,,,,,,,,329.0,,
Venezuela (Bolivarian Republic of),2005,9078.0,1864.0,5214.0,15347.0,666380.0,1142.0,10372.0,14286.0,31597.0,937.0,425.0,1750.0,299.0,3344.0,1953.0,925.0,226.0,39846.0,10445.0,4672.0,,43.0,2746.0,111.0,202.0,54.0,4.0,15.0,,108.0,,,1016.0,17.0,7511.0
Barbados,2005,,,,,,,42.0,,,,,24.0,,,,,,,1147.0,,,,1740.0,839.0,518.0,33.0,426.0,2991.0,225.0,3648.0,55.0,78.0,721.0,15.0,4640.0
Trinidad and Tobago,2005,,,,,,,42.0,,,,,,,,,,,,3757.0,,1516.0,1688.0,,856.0,11973.0,,,1047.0,,8998.0,,,1016.0,,5649.0
Jamaica,2005,,,,,,104.0,1879.0,,,139.0,318.0,,169.0,,130.0,78.0,,,6493.0,,,560.0,2413.0,,216.0,,144.0,344.0,161.0,236.0,695.0,101.0,1378.0,7.0,
Grenada,2005,,,,,,,,,,,,,,,,,,,,,322.0,168.0,2075.0,109.0,,,70.0,154.0,36.0,357.0,28.0,14.0,215.0,,322.0
Suriname,2005,,,3921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9548.0
Dominica,2005,,,,,,,8.0,,,,,1071.0,,,,,,,439.0,,21.0,117.0,215.0,91.0,,13.0,,198.0,357.0,88.0,8.0,44.0,129.0,,133.0
Saint Lucia,2005,,,10.0,,,,21.0,43.0,,,4.0,,,8.0,,25.0,,,595.0,,57.0,698.0,700.0,167.0,143.0,38.0,206.0,,105.0,391.0,12.0,39.0,230.0,1.0,1772.0
Antigua and Barbuda,2005,,,,,,,18.0,1572.0,,,,29.0,7.0,5.0,,,,,2313.0,,35.0,266.0,634.0,3515.0,170.0,40.0,4180.0,596.0,,809.0,2.0,420.0,382.0,12.0,5702.0
Saint Vincent and the Grenadines,2005,,,,,,,,,,,,,,,,,,,325.0,,,334.0,925.0,121.0,416.0,,82.0,228.0,56.0,,,37.0,157.0,,234.0
Bahamas,2005,56.0,,80.0,20.0,106.0,58.0,240.0,177.0,28.0,36.0,21.0,23047.0,27.0,103.0,8.0,31.0,,165.0,6587.0,9.0,26.0,164.0,341.0,5349.0,28.0,,58.0,65.0,11.0,30.0,,22.0,1399.0,27.0,957.0
Saint Kitts and Nevis,2005,,,,,,,,,,,,,,,,,,,,,,87.0,239.0,128.0,52.0,,180.0,93.0,363.0,152.0,19.0,,,,697.0
Canada,2005,15923.0,3625.0,19215.0,24756.0,39330.0,3416.0,9129.0,6737.0,12238.0,39970.0,14401.0,66504.0,5243.0,61186.0,8894.0,2458.0,6040.0,21778.0,273338.0,6280.0,12434.0,14688.0,63760.0,119447.0,9321.0,835.0,2818.0,4135.0,2285.0,10317.0,1556.0,2192.0,,1604.0,82392.0
Belize,2005,,,,,,,,,,7059.0,18022.0,42.0,6375.0,2764.0,,,,,2694.0,,,,,412.0,,,,,,,,,596.0,,
Guyana,2005,,,1448.0,,,,,,,,,,,,,,,,852.0,,1424.0,223.0,591.0,209.0,137.0,3117.0,31.0,226.0,13.0,260.0,11.0,,272.0,,
