Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Guatemala,2015,554.0,136.0,240.0,301.0,1156.0,1162.0,660.0,109.0,167.0,19198.0,,14.0,8387.0,17540.0,8561.0,300.0,59.0,457.0,8643.0,140.0,283.0,,,,,,,,,,,,397.0,916.0,
Haiti,2015,964.0,,,690.0,1715.0,568.0,2492.0,4984.0,,,,,,634.0,,,,727.0,3328.0,593.0,5198.0,,,,,,,,,,,,1302.0,,
Honduras,2015,140.0,108.0,174.0,227.0,636.0,631.0,449.0,99.0,338.0,6486.0,3375.0,32.0,,1148.0,5690.0,292.0,26.0,282.0,4981.0,49.0,75.0,,,20.0,,,,,,,,,256.0,268.0,
Mexico,2015,18728.0,2715.0,6198.0,7202.0,20135.0,2468.0,17653.0,1992.0,2736.0,10054.0,53128.0,1296.0,15027.0,,5369.0,1756.0,767.0,8853.0,876528.0,2947.0,15959.0,,26.0,174.0,,,,,,,,,14121.0,3160.0,
Nicaragua,2015,270.0,64.0,122.0,126.0,447.0,10772.0,941.0,69.0,111.0,2444.0,1762.0,23.0,12439.0,846.0,,405.0,,228.0,3606.0,38.0,159.0,,,20.0,,,,,119.0,,84.0,,252.0,24.0,
Panama,2015,2550.0,454.0,2002.0,1813.0,55251.0,7760.0,2825.0,8095.0,2672.0,3225.0,1606.0,542.0,1504.0,4832.0,12915.0,,122.0,4290.0,14040.0,762.0,9883.0,32.0,119.0,697.0,27.0,,58.0,,,,,,1808.0,86.0,48.0
Paraguay,2015,57056.0,1009.0,73715.0,2109.0,,,,,,,,,,1605.0,,,,,1576.0,2925.0,,,,,,,,,,,,,2281.0,,
Peru,2015,11354.0,5722.0,4859.0,7182.0,5937.0,337.0,905.0,181.0,3990.0,108.0,163.0,49.0,165.0,1491.0,161.0,344.0,545.0,,9853.0,612.0,3237.0,,,,,,,,,22.0,,,1223.0,,
United States of America,2015,179639.0,80073.0,347968.0,97901.0,687696.0,85924.0,1131284.0,940874.0,442693.0,1276489.0,881191.0,604004.0,530645.0,12050031.0,257427.0,107852.0,28642.0,442615.0,,47664.0,197171.0,54780.0,240948.0,712830.0,32460.0,13338.0,29579.0,21076.0,28558.0,22808.0,33617.0,17226.0,842175.0,49765.0,269778.0
Uruguay,2015,22521.0,,10496.0,1384.0,,,,,,,,,,466.0,,,1583.0,1533.0,2853.0,,463.0,,,,,,,,,,,,284.0,,
Venezuela (Bolivarian Republic of),2015,9944.0,1967.0,6026.0,15263.0,973315.0,1127.0,11423.0,14743.0,36973.0,1015.0,428.0,1900.0,294.0,3831.0,2045.0,880.0,214.0,47007.0,11242.0,4795.0,,7.0,2808.0,95.0,163.0,46.0,0.0,6.0,,121.0,,,1136.0,20.0,9149.0
Barbados,2015,,,,,,,58.0,,,,,33.0,,,,,,,1034.0,,,,1490.0,994.0,389.0,47.0,337.0,2177.0,194.0,3114.0,49.0,109.0,689.0,22.0,6594.0
Trinidad and Tobago,2015,,,,,,,76.0,,,,,,,,,,,,5798.0,,1732.0,1066.0,,1497.0,8026.0,,,880.0,,6430.0,,,1777.0,,9830.0
Jamaica,2015,,,,,,99.0,1791.0,,,132.0,302.0,,160.0,,123.0,74.0,,,6193.0,,,533.0,2299.0,,205.0,,137.0,328.0,153.0,224.0,662.0,96.0,1313.0,7.0,
Grenada,2015,,,,,,,,,,,,,,,,,,,,,341.0,178.0,2196.0,115.0,,,74.0,163.0,38.0,377.0,30.0,15.0,227.0,,341.0
Suriname,2015,,,5456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13284.0
Dominica,2015,,,,,,,12.0,,,,,1395.0,,,,,,,623.0,,30.0,167.0,306.0,129.0,,19.0,,281.0,442.0,125.0,12.0,63.0,184.0,,190.0
Saint Lucia,2015,,,12.0,,,,24.0,48.0,,,4.0,,,9.0,,28.0,,,663.0,,63.0,778.0,780.0,187.0,159.0,42.0,229.0,,118.0,435.0,13.0,44.0,256.0,1.0,1974.0
Antigua and Barbuda,2015,,,,,,,20.0,1784.0,,,,33.0,7.0,5.0,,,,,2626.0,,39.0,302.0,720.0,3990.0,192.0,45.0,4745.0,676.0,,918.0,2.0,476.0,434.0,14.0,6472.0
Saint Vincent and the Grenadines,2015,,,,,,,,,,,,,,,,,,,338.0,,,347.0,964.0,125.0,433.0,,86.0,237.0,58.0,,,39.0,163.0,,243.0
Bahamas,2015,111.0,,121.0,35.0,193.0,54.0,401.0,291.0,43.0,73.0,35.0,27591.0,43.0,134.0,10.0,52.0,,314.0,9664.0,17.0,30.0,238.0,390.0,7503.0,33.0,,75.0,78.0,14.0,40.0,,34.0,1567.0,44.0,1335.0
Saint Kitts and Nevis,2015,,,,,,,,,,,,,,,,,,,,,,96.0,266.0,141.0,57.0,,200.0,102.0,404.0,168.0,24.0,,,,777.0
Canada,2015,21350.0,5667.0,29345.0,29090.0,70497.0,5039.0,15128.0,9803.0,15590.0,48632.0,17555.0,93443.0,7084.0,93557.0,9923.0,2871.0,8348.0,30099.0,343252.0,7485.0,19732.0,17207.0,74682.0,140185.0,11524.0,994.0,3361.0,5928.0,2677.0,13973.0,2160.0,2285.0,,2149.0,96531.0
Belize,2015,,,,,,,,,,8697.0,23231.0,53.0,8496.0,3472.0,,,,,4036.0,,,,,489.0,,,,,,,,,818.0,,
Guyana,2015,,,2135.0,,,,,,,,,,,,,,,,1255.0,,2099.0,268.0,880.0,295.0,193.0,4595.0,43.0,219.0,19.0,368.0,15.0,,400.0,,
