Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Argentina,2015,,419048.0,48792.0,213119.0,8640.0,123.0,1106.0,684.0,955.0,73.0,96.0,41.0,66.0,1450.0,91.0,161.0,679044.0,195320.0,5135.0,132749.0,1240.0,7.0,34.0,11.0,11.0,5.0,4.0,,,,,,530.0,6.0,
Bolivia (Plurinational State of),2015,42691.0,,25688.0,4730.0,2964.0,146.0,1770.0,116.0,1002.0,127.0,142.0,15.0,231.0,9522.0,111.0,109.0,4285.0,11282.0,4896.0,509.0,773.0,0.0,5.0,7.0,0.0,0.0,3.0,,0.0,,0.0,0.0,1380.0,905.0,5.0
Brazil,2015,34699.0,46336.0,,18422.0,8179.0,461.0,2479.0,372.0,2065.0,272.0,348.0,65.0,151.0,3198.0,438.0,621.0,46857.0,17931.0,28068.0,28708.0,3425.0,33.0,224.0,165.0,31.0,325.0,25.0,173.0,,35.0,18.0,36.0,1894.0,6.0,2264.0
Chile,2015,70415.0,37554.0,18243.0,,23471.0,467.0,3049.0,278.0,23471.0,233.0,227.0,44.0,240.0,1739.0,240.0,516.0,1226.0,178385.0,8058.0,2288.0,4134.0,5.0,12.0,23.0,5.0,5.0,30.0,62.0,13.0,5.0,2.0,13.0,1847.0,2.0,15.0
Colombia,2015,3199.0,818.0,2337.0,2024.0,,1056.0,1820.0,385.0,14232.0,384.0,460.0,116.0,352.0,2854.0,573.0,2067.0,216.0,5044.0,18841.0,435.0,46614.0,,37.0,60.0,,,49.0,,40.0,,,,985.0,,19.0
Costa Rica,2015,1504.0,379.0,558.0,1782.0,21787.0,,5897.0,1126.0,1303.0,14239.0,2725.0,73.0,4020.0,3176.0,299340.0,11702.0,85.0,3876.0,12982.0,321.0,1415.0,11.0,35.0,223.0,8.0,21.0,5.0,1.0,,1.0,12.0,1.0,1443.0,143.0,29.0
Cuba,2015,157.0,54.0,,166.0,149.0,,,113.0,57.0,,64.0,872.0,,375.0,252.0,77.0,,80.0,500.0,,182.0,,,276.0,76.0,,,,,,,,57.0,,
Dominican Republic,2015,1071.0,171.0,645.0,633.0,3606.0,307.0,3841.0,,582.0,267.0,429.0,329281.0,424.0,1498.0,292.0,757.0,25.0,1428.0,25814.0,183.0,5417.0,,23.0,133.0,,27.0,15.0,,179.0,,39.0,137.0,1216.0,,23.0
Ecuador,2015,5399.0,1528.0,2654.0,11341.0,194733.0,938.0,2994.0,353.0,,522.0,430.0,96.0,469.0,2258.0,392.0,964.0,242.0,13705.0,26802.0,958.0,8901.0,,45.0,37.0,,,,,,,48.0,,2341.0,,
El Salvador,2015,216.0,53.0,242.0,229.0,577.0,876.0,128.0,72.0,123.0,,8885.0,,11676.0,1714.0,7823.0,451.0,11.0,234.0,5397.0,75.0,242.0,40.0,,10.0,,,,,,,,,245.0,339.0,
