Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Barbados,2010,,,,,,,56.0,,,,,32.0,,,,,,,985.0,,,,1419.0,947.0,371.0,45.0,321.0,2073.0,185.0,2964.0,47.0,104.0,656.0,21.0,6277.0
Trinidad and Tobago,2010,,,,,,,74.0,,,,,,,,,,,,5597.0,,1672.0,1029.0,,1445.0,7748.0,,,850.0,,6207.0,,,1716.0,,9490.0
Jamaica,2010,,,,,,101.0,1830.0,,,135.0,309.0,,164.0,,126.0,76.0,,,6329.0,,,545.0,2349.0,,210.0,,140.0,335.0,156.0,229.0,677.0,98.0,1342.0,7.0,
Grenada,2010,,,,,,,,,,,,,,,,,,,,,337.0,176.0,2170.0,114.0,,,74.0,162.0,38.0,373.0,30.0,15.0,225.0,,337.0
Suriname,2010,,,4626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11264.0
Dominica,2010,,,,,,,10.0,,,,,1196.0,,,,,,,534.0,,26.0,143.0,262.0,111.0,,16.0,,241.0,379.0,107.0,10.0,54.0,158.0,,163.0
Saint Lucia,2010,,,12.0,,,,23.0,46.0,,,4.0,,,9.0,,27.0,,,627.0,,60.0,736.0,738.0,177.0,151.0,40.0,217.0,,112.0,412.0,13.0,42.0,243.0,1.0,1867.0
Antigua and Barbuda,2010,,,,,,,19.0,1678.0,,,,31.0,7.0,5.0,,,,,2469.0,,37.0,284.0,677.0,3752.0,181.0,42.0,4462.0,636.0,,863.0,2.0,448.0,408.0,13.0,6086.0
Saint Vincent and the Grenadines,2010,,,,,,,,,,,,,,,,,,,331.0,,,340.0,943.0,123.0,424.0,,83.0,233.0,57.0,,,39.0,163.0,,238.0
Bahamas,2010,102.0,,112.0,32.0,178.0,50.0,370.0,269.0,40.0,67.0,32.0,25465.0,40.0,124.0,9.0,48.0,,290.0,8919.0,16.0,28.0,220.0,360.0,6925.0,30.0,,69.0,72.0,13.0,37.0,,31.0,1446.0,41.0,1232.0
Saint Kitts and Nevis,2010,,,,,,,,,,,,,,,,,,,,,,94.0,259.0,138.0,56.0,,195.0,102.0,393.0,166.0,21.0,,,,756.0
Canada,2010,19104.0,5071.0,26258.0,26030.0,63081.0,4509.0,13537.0,8772.0,13950.0,43516.0,15708.0,83613.0,6339.0,83715.0,8879.0,2569.0,7470.0,26933.0,307143.0,6698.0,17656.0,15397.0,66826.0,125438.0,10312.0,889.0,3007.0,5304.0,2395.0,12503.0,1933.0,2045.0,,1923.0,86376.0
Belize,2010,,,,,,,,,,7486.0,19995.0,46.0,7313.0,2988.0,,,,,3474.0,,,,,421.0,,,,,,,,,704.0,,
Guyana,2010,,,1821.0,,,,,,,,,,,,,,,,1071.0,,1791.0,229.0,751.0,252.0,165.0,3920.0,37.0,187.0,16.0,314.0,13.0,,341.0,,
