Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Argentina,2010,,363142.0,42283.0,184687.0,1722.0,123.0,1102.0,682.0,952.0,73.0,96.0,41.0,66.0,1445.0,91.0,160.0,588452.0,169262.0,4450.0,115039.0,1236.0,7.0,34.0,11.0,11.0,5.0,4.0,,,,,,528.0,6.0,
Bolivia (Plurinational State of),2010,36671.0,,22066.0,4063.0,2546.0,125.0,1520.0,100.0,861.0,109.0,122.0,13.0,198.0,8179.0,95.0,94.0,3681.0,9691.0,4206.0,437.0,664.0,0.0,4.0,6.0,0.0,0.0,3.0,,0.0,,0.0,0.0,1185.0,777.0,4.0
Brazil,2010,28815.0,38479.0,,15298.0,6792.0,383.0,2059.0,309.0,1715.0,226.0,289.0,54.0,125.0,2656.0,364.0,516.0,38911.0,14890.0,23308.0,23840.0,2844.0,27.0,186.0,137.0,26.0,270.0,21.0,144.0,,29.0,15.0,30.0,1573.0,5.0,1880.0
Chile,2010,68235.0,27728.0,11100.0,,15882.0,283.0,1856.0,169.0,22016.0,142.0,138.0,28.0,146.0,1058.0,146.0,313.0,746.0,152768.0,4902.0,1392.0,2514.0,2.0,7.0,13.0,3.0,2.0,18.0,37.0,8.0,3.0,1.0,8.0,1125.0,1.0,9.0
Colombia,2010,2986.0,764.0,2181.0,1889.0,,986.0,1699.0,359.0,13284.0,358.0,429.0,108.0,329.0,2664.0,535.0,1929.0,202.0,4708.0,17587.0,406.0,43511.0,,35.0,56.0,,,46.0,,37.0,,,,919.0,,18.0
Costa Rica,2010,1446.0,364.0,536.0,1713.0,20945.0,,5669.0,1082.0,1253.0,13688.0,2620.0,70.0,3865.0,3053.0,287766.0,11250.0,82.0,3726.0,12480.0,309.0,1360.0,11.0,34.0,214.0,8.0,20.0,5.0,1.0,,1.0,12.0,1.0,1387.0,137.0,28.0
Cuba,2010,174.0,60.0,,184.0,166.0,,,125.0,63.0,,71.0,969.0,,417.0,280.0,86.0,,89.0,556.0,,202.0,,,307.0,84.0,,,,,,,,63.0,,
Dominican Republic,2010,1015.0,162.0,611.0,600.0,3416.0,291.0,3639.0,,551.0,253.0,406.0,311969.0,402.0,1419.0,277.0,717.0,24.0,1353.0,24457.0,173.0,5132.0,,22.0,126.0,,26.0,14.0,,170.0,,37.0,130.0,1152.0,,22.0
Ecuador,2010,3712.0,1051.0,1825.0,7797.0,192805.0,645.0,2059.0,243.0,,359.0,296.0,66.0,323.0,1553.0,270.0,663.0,167.0,9422.0,18426.0,659.0,6120.0,,31.0,26.0,,,,,,,33.0,,1610.0,,
El Salvador,2010,207.0,51.0,232.0,220.0,553.0,840.0,123.0,69.0,118.0,,8521.0,,11198.0,1644.0,7502.0,433.0,11.0,224.0,5176.0,72.0,232.0,38.0,,10.0,,,,,,,,,235.0,325.0,
Guatemala,2010,482.0,118.0,209.0,262.0,1005.0,1010.0,574.0,95.0,145.0,16691.0,,12.0,7292.0,15250.0,7443.0,261.0,51.0,397.0,7514.0,122.0,246.0,,,,,,,,,,,,345.0,796.0,
Haiti,2010,856.0,,,613.0,1523.0,504.0,2213.0,4426.0,,,,,,563.0,,,,646.0,2956.0,527.0,4616.0,,,,,,,,,,,,1156.0,,
Honduras,2010,136.0,105.0,169.0,221.0,618.0,613.0,436.0,96.0,328.0,6303.0,3280.0,31.0,,1116.0,5530.0,284.0,25.0,274.0,4851.0,48.0,73.0,,,19.0,,,,,,,,,249.0,260.0,
Mexico,2010,14171.0,1988.0,4532.0,5267.0,13259.0,2482.0,11822.0,1603.0,2201.0,8864.0,32888.0,940.0,9980.0,,3572.0,1766.0,506.0,5886.0,741918.0,2371.0,10786.0,,27.0,126.0,,,,,,,,,10208.0,2312.0,
Nicaragua,2010,251.0,60.0,114.0,117.0,415.0,9989.0,873.0,64.0,103.0,2267.0,1634.0,22.0,11534.0,785.0,,376.0,,212.0,3298.0,36.0,148.0,,,19.0,,,,,111.0,,78.0,,234.0,23.0,
Panama,2010,2172.0,386.0,1704.0,1544.0,47046.0,6608.0,2405.0,6893.0,2275.0,2747.0,1367.0,461.0,1280.0,4114.0,10998.0,,103.0,3654.0,11956.0,648.0,8415.0,28.0,101.0,593.0,22.0,,49.0,,,,,,1540.0,73.0,41.0
Paraguay,2010,58456.0,1034.0,75523.0,2161.0,,,,,,,,,,1645.0,,,,,1615.0,2997.0,,,,,,,,,,,,,2337.0,,
Peru,2010,10503.0,5293.0,4495.0,6644.0,5492.0,312.0,838.0,168.0,3691.0,100.0,151.0,46.0,153.0,1380.0,149.0,319.0,505.0,,9115.0,567.0,2995.0,,,,,,,,,21.0,,,1132.0,,
United States of America,2010,173385.0,77044.0,335505.0,90964.0,625906.0,86203.0,1003052.0,802001.0,413690.0,1133462.0,777073.0,542091.0,467515.0,11566960.0,241518.0,102223.0,29749.0,407435.0,,49216.0,171960.0,52759.0,228508.0,641849.0,31140.0,13853.0,33777.0,18871.0,25569.0,20919.0,28789.0,15424.0,826000.0,46553.0,251829.0
Uruguay,2010,22275.0,,10797.0,1406.0,,,,,,,,,,508.0,,,1459.0,1110.0,2217.0,,523.0,,,,,,,,,,,,306.0,,
Venezuela (Bolivarian Republic of),2010,9430.0,1888.0,5623.0,14945.0,918949.0,1107.0,10813.0,14254.0,34373.0,967.0,418.0,1810.0,290.0,3585.0,1969.0,876.0,215.0,43607.0,10721.0,4645.0,,23.0,2724.0,98.0,174.0,48.0,2.0,10.0,,114.0,,,1071.0,19.0,8410.0
