origin,destination,year,qty
Haiti,Costa Rica,1990,48.0
Honduras,Costa Rica,1990,2608.0
Mexico,Costa Rica,1990,2081.0
Nicaragua,Costa Rica,1990,99153.0
Panama,Costa Rica,1990,8692.0
Paraguay,Costa Rica,1990,58.0
Peru,Costa Rica,1990,2225.0
United States of America,Costa Rica,1990,8586.0
Uruguay,Costa Rica,1990,252.0
Venezuela (Bolivarian Republic of),Costa Rica,1990,1030.0
Barbados,Costa Rica,1990,8.0
Trinidad and Tobago,Costa Rica,1990,26.0
Jamaica,Costa Rica,1990,356.0
Grenada,Costa Rica,1990,7.0
Suriname,Costa Rica,1990,13.0
Dominica,Costa Rica,1990,3.0
Saint Lucia,Costa Rica,1990,2.0
Saint Vincent and the Grenadines,Costa Rica,1990,1.0
Bahamas,Costa Rica,1990,10.0
Saint Kitts and Nevis,Costa Rica,1990,1.0
Canada,Costa Rica,1990,810.0
Belize,Costa Rica,1990,202.0
Guyana,Costa Rica,1990,20.0
Argentina,Cuba,1990,373.0
Bolivia (Plurinational State of),Cuba,1990,128.0
Chile,Cuba,1990,393.0
Colombia,Cuba,1990,353.0
Dominican Republic,Cuba,1990,267.0
Ecuador,Cuba,1990,135.0
Guatemala,Cuba,1990,153.0
Haiti,Cuba,1990,2063.0
Mexico,Cuba,1990,889.0
Nicaragua,Cuba,1990,595.0
Panama,Cuba,1990,184.0
Peru,Cuba,1990,191.0
United States of America,Cuba,1990,1186.0
Venezuela (Bolivarian Republic of),Cuba,1990,431.0
Jamaica,Cuba,1990,656.0
Grenada,Cuba,1990,180.0
Canada,Cuba,1990,135.0
Argentina,Dominican Republic,1990,2642.0
Bolivia (Plurinational State of),Dominican Republic,1990,363.0
Brazil,Dominican Republic,1990,950.0
Chile,Dominican Republic,1990,1891.0
Colombia,Dominican Republic,1990,4697.0
Costa Rica,Dominican Republic,1990,1552.0
Cuba,Dominican Republic,1990,6824.0
Ecuador,Dominican Republic,1990,950.0
El Salvador,Dominican Republic,1990,366.0
Guatemala,Dominican Republic,1990,475.0
Haiti,Dominican Republic,1990,187210.0
Honduras,Dominican Republic,1990,433.0
Mexico,Dominican Republic,1990,1737.0
Nicaragua,Dominican Republic,1990,415.0
Panama,Dominican Republic,1990,699.0
Paraguay,Dominican Republic,1990,61.0
Peru,Dominican Republic,1990,1991.0
United States of America,Dominican Republic,1990,9115.0
Uruguay,Dominican Republic,1990,1625.0
Venezuela (Bolivarian Republic of),Dominican Republic,1990,14235.0
Trinidad and Tobago,Dominican Republic,1990,100.0
Jamaica,Dominican Republic,1990,421.0
Suriname,Dominican Republic,1990,103.0
Dominica,Dominican Republic,1990,24.0
Antigua and Barbuda,Dominican Republic,1990,266.0
Bahamas,Dominican Republic,1990,91.0
Saint Kitts and Nevis,Dominican Republic,1990,76.0
Canada,Dominican Republic,1990,3562.0
Guyana,Dominican Republic,1990,45.0
Argentina,Ecuador,1990,1669.0
Bolivia (Plurinational State of),Ecuador,1990,509.0
Brazil,Ecuador,1990,968.0
Chile,Ecuador,1990,5302.0
Colombia,Ecuador,1990,40238.0
Costa Rica,Ecuador,1990,313.0
Cuba,Ecuador,1990,998.0
Dominican Republic,Ecuador,1990,118.0
El Salvador,Ecuador,1990,174.0
Guatemala,Ecuador,1990,144.0
Haiti,Ecuador,1990,32.0
Honduras,Ecuador,1990,157.0
Mexico,Ecuador,1990,656.0
Nicaragua,Ecuador,1990,131.0
Panama,Ecuador,1990,321.0
Paraguay,Ecuador,1990,81.0
Peru,Ecuador,1990,2567.0
United States of America,Ecuador,1990,8595.0
Uruguay,Ecuador,1990,320.0
Venezuela (Bolivarian Republic of),Ecuador,1990,2549.0
Trinidad and Tobago,Ecuador,1990,15.0
Jamaica,Ecuador,1990,13.0
Bahamas,Ecuador,1990,16.0
Canada,Ecuador,1990,806.0
Argentina,El Salvador,1990,255.0
Bolivia (Plurinational State of),El Salvador,1990,73.0
Brazil,El Salvador,1990,329.0
Chile,El Salvador,1990,380.0
Colombia,El Salvador,1990,386.0
Costa Rica,El Salvador,1990,1558.0
Cuba,El Salvador,1990,84.0
Dominican Republic,El Salvador,1990,38.0
Ecuador,El Salvador,1990,155.0
Guatemala,El Salvador,1990,8235.0
Honduras,El Salvador,1990,15774.0
Mexico,El Salvador,1990,2457.0
Nicaragua,El Salvador,1990,3893.0
Panama,El Salvador,1990,557.0
Paraguay,El Salvador,1990,36.0
Peru,El Salvador,1990,246.0
United States of America,El Salvador,1990,8033.0
Uruguay,El Salvador,1990,120.0
Venezuela (Bolivarian Republic of),El Salvador,1990,258.0
Barbados,El Salvador,1990,64.0
Jamaica,El Salvador,1990,16.0
Canada,El Salvador,1990,508.0
Belize,El Salvador,1990,244.0
Argentina,Guatemala,1990,285.0
Bolivia (Plurinational State of),Guatemala,1990,67.0
Brazil,Guatemala,1990,77.0
Chile,Guatemala,1990,271.0
Colombia,Guatemala,1990,490.0
Costa Rica,Guatemala,1990,758.0
Cuba,Guatemala,1990,275.0
Dominican Republic,Guatemala,1990,59.0
Ecuador,Guatemala,1990,120.0
El Salvador,Guatemala,1990,236655.0
Haiti,Guatemala,1990,26.0
Honduras,Guatemala,1990,4768.0
Mexico,Guatemala,1990,5402.0
Nicaragua,Guatemala,1990,3726.0
Panama,Guatemala,1990,242.0
Paraguay,Guatemala,1990,72.0
Peru,Guatemala,1990,210.0
United States of America,Guatemala,1990,5822.0
Uruguay,Guatemala,1990,95.0
Venezuela (Bolivarian Republic of),Guatemala,1990,113.0
Canada,Guatemala,1990,272.0
Belize,Guatemala,1990,543.0
Argentina,Haiti,1990,466.0
Chile,Haiti,1990,333.0
Colombia,Haiti,1990,828.0
Costa Rica,Haiti,1990,274.0
Cuba,Haiti,1990,1203.0
Dominican Republic,Haiti,1990,2406.0
Mexico,Haiti,1990,306.0
Peru,Haiti,1990,351.0
United States of America,Haiti,1990,1607.0
Uruguay,Haiti,1990,286.0
Venezuela (Bolivarian Republic of),Haiti,1990,2510.0
Canada,Haiti,1990,628.0
Argentina,Honduras,1990,145.0
Bolivia (Plurinational State of),Honduras,1990,112.0
Brazil,Honduras,1990,179.0
Chile,Honduras,1990,273.0
Colombia,Honduras,1990,409.0
Costa Rica,Honduras,1990,594.0
Cuba,Honduras,1990,464.0
Dominican Republic,Honduras,1990,103.0
Ecuador,Honduras,1990,348.0
El Salvador,Honduras,1990,114810.0
Guatemala,Honduras,1990,3250.0
Haiti,Honduras,1990,34.0
Mexico,Honduras,1990,795.0
Nicaragua,Honduras,1990,142802.0
Panama,Honduras,1990,190.0
Paraguay,Honduras,1990,27.0
Peru,Honduras,1990,291.0
United States of America,Honduras,1990,2692.0
Uruguay,Honduras,1990,51.0
Venezuela (Bolivarian Republic of),Honduras,1990,75.0
Jamaica,Honduras,1990,20.0
Canada,Honduras,1990,264.0
Belize,Honduras,1990,213.0
Argentina,Mexico,1990,4340.0
Bolivia (Plurinational State of),Mexico,1990,1519.0
Brazil,Mexico,1990,1682.0
Chile,Mexico,1990,2783.0
Colombia,Mexico,1990,4660.0
Costa Rica,Mexico,1990,2088.0
Cuba,Mexico,1990,2660.0
Dominican Republic,Mexico,1990,522.0
Ecuador,Mexico,1990,719.0
El Salvador,Mexico,1990,301106.0
Guatemala,Mexico,1990,72343.0
Haiti,Mexico,1990,475.0
Honduras,Mexico,1990,1990.0
Nicaragua,Mexico,1990,3096.0
Panama,Mexico,1990,25641.0
Paraguay,Mexico,1990,290.0
Peru,Mexico,1990,2981.0
United States of America,Mexico,1990,198230.0
Uruguay,Mexico,1990,1113.0
Venezuela (Bolivarian Republic of),Mexico,1990,1460.0
Trinidad and Tobago,Mexico,1990,32.0
Jamaica,Mexico,1990,116.0
Canada,Mexico,1990,3100.0
Belize,Mexico,1990,1415.0
Argentina,Nicaragua,1990,185.0
Bolivia (Plurinational State of),Nicaragua,1990,47.0
Brazil,Nicaragua,1990,138.0
Chile,Nicaragua,1990,144.0
Colombia,Nicaragua,1990,298.0
Costa Rica,Nicaragua,1990,5959.0
Cuba,Nicaragua,1990,896.0
Dominican Republic,Nicaragua,1990,65.0
Ecuador,Nicaragua,1990,98.0
El Salvador,Nicaragua,1990,12443.0
Guatemala,Nicaragua,1990,1134.0
Haiti,Nicaragua,1990,25.0
Honduras,Nicaragua,1990,10105.0
Mexico,Nicaragua,1990,925.0
Panama,Nicaragua,1990,442.0
Peru,Nicaragua,1990,221.0
United States of America,Nicaragua,1990,3721.0
Uruguay,Nicaragua,1990,11.0
Venezuela (Bolivarian Republic of),Nicaragua,1990,146.0
Jamaica,Nicaragua,1990,39.0
Antigua and Barbuda,Nicaragua,1990,35.0
Bahamas,Nicaragua,1990,23.0
Canada,Nicaragua,1990,185.0
Belize,Nicaragua,1990,60.0
Argentina,Panama,1990,580.0
Bolivia (Plurinational State of),Panama,1990,213.0
Brazil,Panama,1990,633.0
Chile,Panama,1990,998.0
Colombia,Panama,1990,13968.0
Costa Rica,Panama,1990,3919.0
Cuba,Panama,1990,3267.0
Dominican Republic,Panama,1990,1474.0
Ecuador,Panama,1990,1414.0
El Salvador,Panama,1990,2396.0
Guatemala,Panama,1990,376.0
Haiti,Panama,1990,122.0
Honduras,Panama,1990,638.0
Mexico,Panama,1990,1393.0
Nicaragua,Panama,1990,4553.0
Paraguay,Panama,1990,38.0
Peru,Panama,1990,1781.0
United States of America,Panama,1990,3318.0
Uruguay,Panama,1990,147.0
Venezuela (Bolivarian Republic of),Panama,1990,487.0
Barbados,Panama,1990,137.0
Trinidad and Tobago,Panama,1990,64.0
Jamaica,Panama,1990,942.0
Grenada,Panama,1990,21.0
Dominica,Panama,1990,12.0
Canada,Panama,1990,140.0
Belize,Panama,1990,64.0
Guyana,Panama,1990,46.0
Argentina,Paraguay,1990,50447.0
Bolivia (Plurinational State of),Paraguay,1990,809.0
Brazil,Paraguay,1990,111355.0
Chile,Paraguay,1990,2460.0
Mexico,Paraguay,1990,3059.0
United States of America,Paraguay,1990,1582.0
Uruguay,Paraguay,1990,3293.0
Canada,Paraguay,1990,1418.0
Argentina,Peru,1990,8122.0
Bolivia (Plurinational State of),Peru,1990,4094.0
Brazil,Peru,1990,3476.0
Chile,Peru,1990,5138.0
Colombia,Peru,1990,4247.0
Costa Rica,Peru,1990,240.0
Cuba,Peru,1990,646.0
Dominican Republic,Peru,1990,128.0
Ecuador,Peru,1990,2855.0
El Salvador,Peru,1990,76.0
Guatemala,Peru,1990,115.0
Haiti,Peru,1990,34.0
Honduras,Peru,1990,118.0
Mexico,Peru,1990,1067.0
Nicaragua,Peru,1990,114.0
Panama,Peru,1990,246.0
Paraguay,Peru,1990,389.0
United States of America,Peru,1990,7050.0
Uruguay,Peru,1990,437.0
Venezuela (Bolivarian Republic of),Peru,1990,2316.0
Saint Vincent and the Grenadines,Peru,1990,16.0
Canada,Peru,1990,875.0
Argentina,United States of America,1990,92563.0
Bolivia (Plurinational State of),United States of America,1990,31303.0
Brazil,United States of America,1990,82489.0
Chile,United States of America,1990,55681.0
Colombia,United States of America,1990,286124.0
Costa Rica,United States of America,1990,43530.0
Cuba,United States of America,1990,736971.0
Dominican Republic,United States of America,1990,347858.0
Ecuador,United States of America,1990,143314.0
El Salvador,United States of America,1990,465433.0
Guatemala,United States of America,1990,225739.0
Haiti,United States of America,1990,225393.0
Honduras,United States of America,1990,108923.0
Mexico,United States of America,1990,4298014.0
Nicaragua,United States of America,1990,168659.0
Panama,United States of America,1990,85737.0
Paraguay,United States of America,1990,6057.0
Peru,United States of America,1990,144199.0
Uruguay,United States of America,1990,20766.0
Venezuela (Bolivarian Republic of),United States of America,1990,42119.0
Barbados,United States of America,1990,43015.0
Trinidad and Tobago,United States of America,1990,115710.0
Jamaica,United States of America,1990,334140.0
Grenada,United States of America,1990,17730.0
